id,rating_1,rating_2,condition,mode,condition_mode,station,transcription
1,3,3,Blob,Hybrid,BlobHybrid,3,man ist einem pakur entlang gelaufen m jahr wo man den verein folgen sollte und dort sind immer wieder unterschiedliche ud haben immerlsch wieder unterschiedliche bewegungen stattgefunden a vertika horizontal am ja und auch ein ein wackelbrett würdeich esmal bezeichnen wo man hinund hergerüttelt wurde am ja waus dem ersten momentein bishen verwundertlich ausse ja und dem üsst man entlang gelaufen teilweise musste man sich dabei  konzentrieren ae dass man ebnnicht gerade wirklich auf diesem wackelnden brett steht  und man hat sich teilweise auch beim hohenrunterfahren  in dem fahrstuhl wie man in dem echten fahrstuhl es gefühlt wensern einfach hinunt infanes
1,3,3,Blob,Hybrid,BlobHybrid,2,man ist in einen raum reingekommen in dem sechswürfel rote wiffel versteckt waren a oder beziehungsweite verteilt waren die man aufheben musste ond e eine boxpringen musste a dabei ja stellte sich an eine ein oder anderen stelle etwa schwierige heraus die jaunter den würfel freizubekommen indem man ja interagieren musste und ein zwei stellschrau oder beziehungsweise sachen lösen musste am drstellte sich von der steuerung her nicht so einfach dar am jar auch an sich vom bewegungsgefühle hat sich das aber alles sehr gut angefühlt maniser relativ gut durchgekommen und konnte die würfel somit in die box bringen
1,0,3,Blob,Firstperson,BlobFirstperson,3,   
1,3,3,Blob,Firstperson,BlobFirstperson,2,men ist in einen raum gekommen mit sechs roten würfeln und in diesem raum sollte man die würfel aufheben oder beziehungsweisehen eine box transportieren am während dessen jahr musst man unterschiedliche tätigkeiten bedienen odertunterschiedliche tätigkeiten aus fürenumme an die würfel zu kommen aben sich dabei auch bücken um die würfel aufzuheben abwas hoch heben oder auch jn verschlusslösen und ozivon den mechanismen her wie man das machen musste real angefüllt
1,3,3,Blob,Hybrid,BlobHybrid,0,e also ich fanderemsicher liebthabel mann musste ja ungund mit den kontrollen wie man sich bewegt die steuerung relativ simpel und einfach und jamand hatt einen raum vor sich  wo man hie seine figur steuern konnte im in der dritten person und dann ist man durch den raum gelaufen konnte sich umgucken und er hat einen würfel aufgehoben dass gestaltet sich etwa schwierig weil man sich weiter nach vornelehen musste und ja die steuerung dabei nicht so ganz geklappt hat
1,3,0,Blob,Hybrid,BlobHybrid,1,man ist ein wechentlang gelaufen an in der dritten person und hat dabei jchüs teilweise sehr ungewohnt gewesen imjevon ihrm bewegungsablauf der wieman enoder wie es sich angefühlt hat als aub man sich bewegt awo man selber steht und m ja dadurch an der ein oder eineren stelle ist man auch entwacklung gekommen und
1,3,3,Blob,Hybrid,BlobHybrid,4,man ist erneut einen pakundlang gelaufen auf dem unterschiedliche hinternissevan diesmal  gings auf und ab ber hierbei musste man auch eine wendeltreppe runterlaufen am dabei jatman sich manchmal schon se missien erwi im kraisel gedreht gefühlt  und jam anschlussist man auch noch über einen aufzug aufon abgefahren am diesmal muss man allerdings den aufzug manuell steuern und dabei in die richtung gucken in die man gefahren ist und war nicht so überrascht von der fordrichtung wie bei den anderen aufzügen wos automatisch einfach gestartet ist und
1,3,3,Blob,Firstperson,BlobFirstperson,1,man ist ein wech entlang gelaufen und dabei ist man den fällen gefolgt hat viele kuven amusste man mitnehmen und höerhautlich dabeigefühlt as o man diesen weg entlang läuft
1,3,3,Blob,Firstperson,BlobFirstperson,4,man ist erneut ein pakur entlang gelaufen am und ada dabei unterschiedliche höhenhindernisse die man bewältigen musste am zweimal in aufzug der herauf hinuntergeht am auch hier s s ja in dem fall aus der ich person abe doch angenehmer wenn man selber steuert in welcher richtung anfährt als wr man ja automatisch gefahren wird an gleiches gilt das  das entlang laufen der wendeltreppe a sich etwas besser angefühlt hat aus der eigenen perspektiver als aus der dritten person
1,3,3,Blob,Firstperson,BlobFirstperson,0,man war in einem raum ain jindem man diesmal nicht in der  ddritten personenansicht sondern in der eigenen ansicht sich bewegt hat und ein würfelaufhebenuste in einer boxbringen musste und  ja geradarbeitbewegung schon aufgefallen dass man sich mehr mit derkörper verbunden fühlt undj die bewegigung nachmerkt
