id,condition,mode,condition_mode,station,time_frame_begin,time_frame_end,motion_sickness_score,name_of_audio_data,motionsickness_score_rating_begin,motionsickness_score_rating_accepted_timeStamp,average_velocity
1,Blob,hybrid,BlobHybrid,1,1637653451.9634976,1637653497.014499,0,001_BlobHybrid_1,1637653436.3820336,1637653444.6314328,0.0079605486224377
1,Blob,Firstperson,BlobFirstperson,3,1637655555.9056222,1637655600.950175,0,001_BlobFirstperson_3,1637655548.7842808,1637655551.573243,0.0063909644312869
1,Blob,Firstperson,BlobFirstperson,1,1637655698.8823726,1637655743.9360504,0,001_BlobFirstperson_1,1637655686.332918,1637655689.1831486,0.0066883988002863
1,Blob,Firstperson,BlobFirstperson,2,1637655928.1103356,1637655973.1791155,0,001_BlobFirstperson_2,1637655918.4703016,1637655921.0682578,0.0084079543352296
1,Blob,Firstperson,BlobFirstperson,0,1637655372.1236014,1637655417.1637332,0,001_BlobFirstperson_0,1637655358.867888,1637655361.3351738,0.0060331378129169
1,Blob,Firstperson,BlobFirstperson,4,1637656122.771017,1637656167.7913666,0,001_BlobFirstperson_4,1637656109.0781348,1637656111.7646072,0.0077346941945699
1,Blob,hybrid,BlobHybrid,0,1637653257.965852,1637653303.0134597,0,001_BlobHybrid_0,1637653224.45294,1637653244.4293368,0.0086779539579992
1,Blob,hybrid,BlobHybrid,4,1637654179.8758128,1637654224.896306,0,001_BlobHybrid_4,1637654169.9962494,1637654174.0846512,0.00724352684254
1,Blob,hybrid,BlobHybrid,2,1637653740.9700246,1637653786.0330307,0,001_BlobHybrid_2,1637653733.2587216,1637653736.385703,0.007056826967355
1,Blob,hybrid,BlobHybrid,3,1637653964.0045428,1637654009.0486848,0,001_BlobHybrid_3,1637653948.1510224,1637653954.9015462,0.0083214090177567
2,Avatar,hybrid,AvatarHybrid,3,1637667404.225682,1637667449.268705,0,002_AvatarHybrid_3,1637667385.9775922,1637667391.449699,0.0079338427894893
2,Avatar,hybrid,AvatarHybrid,4,1637667986.069189,1637668031.0823383,0,002_AvatarHybrid_4,1637667974.0633678,1637667978.820294,0.007099564940252
2,Avatar,hybrid,AvatarHybrid,1,1637667613.7184272,1637667658.812202,0,002_AvatarHybrid_1,1637667600.725706,1637667606.9576564,0.0076302989870546
2,Avatar,Firstperson,AvatarFirstperson,0,1637664565.5321753,1637664610.5741684,0,002_AvatarFirstperson_0,1637664480.370407,1637664544.9977112,0.0069436795693361
2,Avatar,hybrid,AvatarHybrid,0,1637667066.877864,1637667111.9421625,0,002_AvatarHybrid_0,1637667053.880604,1637667058.9806094,0.007020454142652
2,Avatar,Firstperson,AvatarFirstperson,1,1637664827.6007714,1637664872.6733522,0,002_AvatarFirstperson_1,1637664801.5328872,1637664818.5930457,0.0053878990823832
2,Avatar,Firstperson,AvatarFirstperson,2,1637665241.9488134,1637665287.0234978,0,002_AvatarFirstperson_2,1637665228.6289425,1637665235.061103,0.0062564301106244
2,Avatar,hybrid,AvatarHybrid,2,1637668322.2187302,1637668367.2582104,0,002_AvatarHybrid_2,1637668310.6337578,1637668315.7023854,0.0068265382423843
2,Avatar,Firstperson,AvatarFirstperson,3,1637665817.621048,1637665862.6560636,0,002_AvatarFirstperson_3,1637665799.2383146,1637665806.3950844,0.0075072940262245
2,Avatar,Firstperson,AvatarFirstperson,4,1637665524.9503288,1637665569.974658,0,002_AvatarFirstperson_4,1637665506.8591585,1637665514.393178,0.0074107568551587
3,Blob,hybrid,BlobHybrid,1,1637675295.4158363,1637675340.484315,0,003_BlobHybrid_1,1637675286.5328476,1637675289.741986,0.0067348347409051
3,Blob,hybrid,BlobHybrid,4,1637675474.5075464,1637675519.5263507,0,003_BlobHybrid_4,1637675461.4146454,1637675466.705248,0.0078761710072987
3,Blob,hybrid,BlobHybrid,3,1637674949.9690433,1637674995.0184016,0,003_BlobHybrid_3,1637674939.3578486,1637674942.8433497,0.0063890072398435
3,Blob,hybrid,BlobHybrid,0,1637674774.5397432,1637674819.570789,0,003_BlobHybrid_0,1637674760.2546997,1637674767.1226878,0.0057878639652358
3,Blob,Firstperson,BlobFirstperson,3,1637673389.1050904,1637673434.1516533,1,003_BlobFirstperson_3,1637673376.707852,1637673380.0018687,0.0063835992711291
3,Blob,Firstperson,BlobFirstperson,1,1637673207.5236063,1637673252.591774,1,003_BlobFirstperson_1,1637673184.1039996,1637673201.4748676,0.0055426091374413
3,Blob,Firstperson,BlobFirstperson,0,1637673041.793653,1637673086.8628983,1,003_BlobFirstperson_0,1637673013.995694,1637673026.8326578,0.0056030823335337
3,Blob,Firstperson,BlobFirstperson,2,1637673645.292793,1637673690.3627462,0,003_BlobFirstperson_2,1637673630.8668942,1637673638.3816564,0.0096635801771887
3,Blob,hybrid,BlobHybrid,2,1637675147.317063,1637675192.3744278,0,003_BlobHybrid_2,1637675137.6265082,1637675141.0572965,0.0057141379974096
3,Blob,Firstperson,BlobFirstperson,4,1637673836.7794666,1637673881.8015394,0,003_BlobFirstperson_4,1637673821.8617098,1637673830.4598572,0.0066950086751289
4,Avatar,Firstperson,AvatarFirstperson,0,1637747293.9702554,1637747339.006138,0,004_AvatarFirstperson_0,1637747284.0507307,1637747288.234964,0.0144477045534313
4,Avatar,Firstperson,AvatarFirstperson,3,1637747549.5441444,1637747594.5751004,2,004_AvatarFirstperson_3,1637747538.2741938,1637747543.556689,0.0190550392331447
4,Avatar,hybrid,AvatarHybrid,1,1637744832.1748812,1637744877.2608285,3,004_AvatarHybrid_1,1637744813.853619,1637744823.2090597,0.0082308885643646
4,Avatar,Firstperson,AvatarFirstperson,4,1637748107.7751353,1637748152.8001516,2,004_AvatarFirstperson_4,1637748097.1244042,1637748101.647767,0.0143399606789078
4,Avatar,Firstperson,AvatarFirstperson,2,1637747838.685425,1637747883.715448,0,004_AvatarFirstperson_2,1637747826.0712197,1637747832.5595767,0.0133501291233296
4,Avatar,hybrid,AvatarHybrid,0,1637744538.5010204,1637744583.5644412,2,004_AvatarHybrid_0,1637744439.251616,1637744509.5307016,0.008834852751237
4,Avatar,Firstperson,AvatarFirstperson,1,1637748318.5275168,1637748363.6105795,3,004_AvatarFirstperson_1,1637748307.75122,1637748312.7028449,0.0080016442851374
4,Avatar,hybrid,AvatarHybrid,4,1637745446.6558564,1637745491.6810417,4,004_AvatarHybrid_4,1637745433.8160672,1637745439.416026,0.0109665506524071
4,Avatar,hybrid,AvatarHybrid,2,1637745868.0835335,1637745913.119045,3,004_AvatarHybrid_2,1637745854.81281,1637745860.3770363,0.012579601136344
4,Avatar,hybrid,AvatarHybrid,3,1637745113.8496983,1637745158.877656,3,004_AvatarHybrid_3,1637745095.418294,1637745106.4276872,0.0114112266445825
5,Blob,Firstperson,BlobFirstperson,2,1637757819.3162248,1637757864.3633556,0,005_BlobFirstperson_2,1637757805.8436968,1637757811.2822163,0.0073614907381492
5,Blob,Firstperson,BlobFirstperson,1,1637757555.6096957,1637757600.662739,0,005_BlobFirstperson_1,1637757543.7029707,1637757546.634421,0.006501341325681
5,Blob,hybrid,BlobHybrid,3,1637755438.4655275,1637755483.5123868,0,005_BlobHybrid_3,1637755422.2285922,1637755425.242148,0.0073927266438886
5,Blob,Firstperson,BlobFirstperson,3,1637757173.5405316,1637757218.5935795,1,005_BlobFirstperson_3,1637757145.9362953,1637757161.7926924,0.0070857054506285
5,Blob,hybrid,BlobHybrid,2,1637755181.5912488,1637755226.635988,0,005_BlobHybrid_2,1637755166.259345,1637755177.3670008,0.0067876330047532
5,Blob,hybrid,BlobHybrid,4,1637754765.323858,1637754810.3490746,0,005_BlobHybrid_4,1637754748.8921182,1637754758.9199874,0.0082683000622815
5,Blob,hybrid,BlobHybrid,1,1637754532.82447,1637754577.8954532,0,005_BlobHybrid_1,1637754512.8986058,1637754525.0914896,0.0075317633347857
5,Blob,hybrid,BlobHybrid,0,1637754356.6178064,1637754401.653234,0,005_BlobHybrid_0,1637754318.4394095,1637754341.5248604,0.0082689047888768
5,Blob,Firstperson,BlobFirstperson,4,1637757370.6222117,1637757415.637349,0,005_BlobFirstperson_4,1637757359.8954885,1637757364.2292063,0.0083427320993663
5,Blob,Firstperson,BlobFirstperson,0,1637756940.5253975,1637756985.5691,0,005_BlobFirstperson_0,1637756926.6753736,1637756929.3752894,0.0077763740715659
6,Avatar,Firstperson,AvatarFirstperson,1,1637831262.0918036,1637831307.158744,0,006_AvatarFirstperson_1,1637831236.991145,1637831244.9654548,0.01209961983184
6,Avatar,Firstperson,AvatarFirstperson,3,1637831806.6643608,1637831851.7202866,0,006_AvatarFirstperson_3,1637831796.2779846,1637831801.215383,0.0201976154166431
6,Avatar,Firstperson,AvatarFirstperson,4,1637831530.577984,1637831575.6008155,0,006_AvatarFirstperson_4,1637831516.948814,1637831524.0896828,0.0145317016067387
6,Avatar,Firstperson,AvatarFirstperson,0,1637831025.793252,1637831070.8594809,0,006_AvatarFirstperson_0,1637830969.1472228,1637830989.6176543,0.0126542328657037
6,Avatar,hybrid,AvatarHybrid,0,1637833719.158945,1637833764.2001555,0,006_AvatarHybrid_0,1637833703.3928251,1637833707.285686,0.0183513018003347
6,Avatar,hybrid,AvatarHybrid,2,1637834449.4521308,1637834494.515843,0,006_AvatarHybrid_2,1637834437.6618931,1637834445.2355208,0.0268975704155125
6,Avatar,hybrid,AvatarHybrid,4,1637834169.597264,1637834214.6096818,0,006_AvatarHybrid_4,1637834159.158593,1637834165.0733,0.0320882462435226
6,Avatar,hybrid,AvatarHybrid,3,1637833958.307625,1637834003.336388,0,006_AvatarHybrid_3,1637833941.4018166,1637833949.0184464,0.0188203630662538
6,Avatar,hybrid,AvatarHybrid,1,1637834602.005224,1637834647.059934,0,006_AvatarHybrid_1,1637834586.705804,1637834591.005257,0.0233278594276641
6,Avatar,Firstperson,AvatarFirstperson,2,1637832308.0100205,1637832353.0575318,0,006_AvatarFirstperson_2,1637832294.898556,1637832301.4849622,0.0140654083995153
7,Blob,Firstperson,BlobFirstperson,2,1637840951.538995,1637840996.6075313,0,007_BlobFirstperson_2,1637840935.0678658,1637840943.4256864,0.0083924619931728
7,Blob,Firstperson,BlobFirstperson,4,1637841692.1573105,1637841737.1799452,3,007_BlobFirstperson_4,1637841673.9472358,1637841686.050323,0.0104986629401636
7,Blob,Firstperson,BlobFirstperson,0,1637840557.7921417,1637840602.8533175,0,007_BlobFirstperson_0,1637840511.7092452,1637840532.398764,0.0079149174440858
7,Blob,hybrid,BlobHybrid,1,1637843477.8679051,1637843522.9399593,1,007_BlobHybrid_1,1637843466.9840412,1637843472.4710178,0.009574584350896
7,Blob,hybrid,BlobHybrid,2,1637843903.845147,1637843948.8983366,0,007_BlobHybrid_2,1637843890.954172,1637843899.183583,0.008655415281576
7,Blob,hybrid,BlobHybrid,0,1637842989.4624202,1637843034.5025313,0,007_BlobHybrid_0,1637842978.8192186,1637842983.828212,0.0108301487253507
7,Blob,hybrid,BlobHybrid,3,1637844163.1300528,1637844208.1815336,2,007_BlobHybrid_3,1637844151.8372216,1637844158.33388,0.0129301337572075
7,Blob,hybrid,BlobHybrid,4,1637843278.390868,1637843323.4077904,3,007_BlobHybrid_4,1637843264.2870004,1637843272.8990638,0.0107555589485632
7,Blob,Firstperson,BlobFirstperson,1,1637841144.3726616,1637841189.4476285,3,007_BlobFirstperson_1,1637841126.3922951,1637841139.1085036,0.0086714358486275
7,Blob,Firstperson,BlobFirstperson,3,1637841410.102022,1637841455.1489947,2,007_BlobFirstperson_3,1637841394.1040466,1637841405.1658642,0.0087689925867779
8,Avatar,hybrid,AvatarHybrid,2,1637851544.9597416,1637851590.0143652,0,008_AvatarHybrid_2,1637851524.7102826,1637851535.04574,0.0067265071964111
8,Avatar,hybrid,AvatarHybrid,1,1637851740.093434,1637851785.1525795,0,008_AvatarHybrid_1,1637851719.7495337,1637851729.5907938,0.0072321833762725
8,Avatar,hybrid,AvatarHybrid,4,1637851959.707518,1637852004.7423446,0,008_AvatarHybrid_4,1637851945.780827,1637851954.108984,0.0091021690840662
8,Avatar,Firstperson,AvatarFirstperson,3,1637854190.1250825,1637854235.1559076,3,008_AvatarFirstperson_3,1637854154.6507995,1637854165.7646725,0.0074262022717459
8,Avatar,Firstperson,AvatarFirstperson,1,1637853938.3493135,1637853983.4381187,0,008_AvatarFirstperson_1,1637853923.4416692,1637853931.421257,0.0068561178820041
8,Avatar,Firstperson,AvatarFirstperson,2,1637854421.2653644,1637854466.338346,1,008_AvatarFirstperson_2,1637854400.5592997,1637854414.7485888,0.008015846159301
